id,lat,lng,rate_hourly
90,43.654669,-79.416411,3.0
91,43.662417,-79.311188,2.0
92,43.660056,-79.311365,2.0
93,43.679814,-79.390007,3.0
94,43.665986,-79.313049,2.0
95,43.66566,-79.314079,2.0
96,43.649267,-79.420135,3.0
97,43.667778,-79.401648,4.0
98,43.634103,-79.469036,2.0
99,43.637123,-79.462266,2.0
100,43.637473,-79.451301,2.0
101,43.6330895,-79.40874309999998,2.0
102,43.63385594958171,-79.43827420370485,2.0
103,43.646712,-79.39491,7.0
104,43.670936,-79.392222,7.0
105,43.657231,-79.392475,6.0
106,43.682499,-79.41787,3.0
107,43.665668,-79.4819,2.0
108,43.652464,-79.374326,5.0
109,43.680738,-79.429629,2.0
110,43.6892603924517,-79.39426911349182,4.0
111,43.638242,-79.419812,4.0
112,43.656346,-79.414555,3.0
113,43.682103,-79.4242,2.5
114,43.64668,-79.395233,7.0
115,43.68298,-79.422065,3.0
116,43.64384,-79.422762,3.0
117,43.649553,-79.361694,4.5
118,43.667974,-79.404218,4.0
119,43.650361,-79.362445,5.0
120,43.653388,-79.451323,3.0
121,43.667558,-79.4028,4.0
122,43.681863,-79.42654,3.0
123,43.6527778,-79.4338219,2.0
124,43.641425,-79.341888,2.0
125,43.682646,-79.326321,3.0
126,43.6754575,-79.45828340000003,2.0
127,43.659822,-79.350373,3.0
128,43.7074,-79.376543,4.0
129,43.651657,-79.41125,2.0
130,43.678907,-79.442248,2.5
131,43.639526,-79.442441,2.0
132,43.666878,-79.404116,3.0
133,43.6778094174964,-79.4406608171272,2.5
134,43.64190211059002,-79.42387041964344,3.0
135,43.65563165773406,-79.3857854604721,8.0
136,43.63720825892904,-79.40646102757796,2.0
137,43.65012,-79.357531,4.5
138,43.651254,-79.362971,5.0
139,43.675942,-79.389439,3.0
140,43.636821,-79.409705,2.0
141,43.641907498775765,-79.41623655205922,3.0
142,43.67705161510706,-79.35487253100479,4.0
143,43.68183500000001,-79.42770310000003,3.0
144,43.678499963983,-79.35887257060432,2.0
145,43.65357281481563,-79.35721380919267,3.0
146,43.65391974804565,-79.35492331255227,3.0
147,43.65266351228955,-79.35574312757797,3.0
148,43.64382134247112,-79.36586784176825,4.0
149,43.664603,-79.318234,2.0
150,43.66536897009298,-79.40763612516594,4.0
151,43.65219023257861,-79.35942073320462,4.0
152,43.6858599,-79.41433789999996,2.5
153,43.64434398571754,-79.3662570749035,4.0
154,43.6364562,-79.3986913,6.0
155,43.67125395344704,-79.29595781534425,2.5
156,43.770373,-79.41257,2.5
157,43.733158,-79.420295,3.0
158,43.769459,-79.412484,5.0
159,43.762168,-79.412441,5.0
160,43.763594,-79.414051,4.0
161,43.767569,-79.416143,4.0
162,43.732182,-79.419576,2.5
163,43.779321,-79.416572,4.0
164,43.756023,-79.410403,4.0
165,43.741786,-79.40595,2.5
166,43.76082,-79.414662,3.0
167,43.781482,-79.415703,4.0
168,43.723875,-79.379571,4.0
169,43.6483334,-79.50903840000001,2.0
170,43.648738,-79.507853,2.0
171,43.6488534,-79.50553109999998,2.0
172,43.648389,-79.510632,3.0
173,43.64818679999999,-79.51020010000002,2.0
174,43.646766,-79.511318,3.0
175,43.60169,-79.503422,2.0
176,43.601216,-79.500697,2.0
